rowID,heightval,weightval,age,ageband,bmi
1,65.78331,112.9925,71,40-75,18
2,71.51521,136.4873,65,40-75,19
3,69.39874,153.0269,56,40-75,22
4,68.2166,142.3354,74,40-75,22
5,67.78781,144.2971,62,40-75,22
6,68.69784,123.3024,25,20-39,18
7,69.80204,141.4947,49,40-75,20
8,70.01472,136.4623,59,40-75,20
9,67.90265,112.3723,31,20-39,17
10,66.78236,120.6672,66,40-75,19
11,66.48769,127.4516,37,20-39,20
12,67.62333,114.143,65,40-75,18
13,68.30248,125.6107,32,20-39,19
14,67.11656,122.4618,61,40-75,19
15,68.27967,116.0866,74,40-75,18
16,71.0916,139.9975,56,40-75,19
17,66.461,129.5023,38,20-39,21
18,68.64927,142.9733,71,40-75,21
19,71.23033,137.9025,30,20-39,19
20,67.13118,124.0449,62,40-75,19
21,67.83379,141.2807,68,40-75,22
22,68.87881,143.5392,42,40-75,21
23,63.48115,97.90191,52,40-75,17
24,68.42187,129.5027,70,40-75,19
25,67.62804,141.8501,38,20-39,22
26,67.20864,129.7244,51,40-75,20
27,70.84235,142.4235,64,40-75,20
28,67.49434,131.5502,44,40-75,20
29,66.53401,108.3324,56,40-75,17
30,65.44098,113.8922,74,40-75,19
31,69.5233,103.3016,59,40-75,15
32,65.8132,120.7536,66,40-75,20
33,67.8163,125.7886,36,20-39,19
34,70.59505,136.2225,59,40-75,19
35,71.80484,140.1015,44,40-75,19
36,69.20613,128.7487,55,40-75,19
37,66.80368,141.7994,54,40-75,22
38,67.65893,121.2319,71,40-75,19
39,67.80701,131.3478,55,40-75,20
40,64.04535,106.7115,36,20-39,18
41,68.57463,124.3598,64,40-75,19
42,65.18357,124.8591,74,40-75,21
43,69.65814,139.6711,54,40-75,20
44,67.96731,137.3696,48,40-75,21
45,65.98088,106.4499,62,40-75,17
46,68.67249,128.7639,43,40-75,19
47,66.88088,145.6837,27,20-39,23
48,67.69868,116.819,28,20-39,18
49,69.82117,143.6215,73,40-75,21
50,69.08817,134.9325,63,40-75,20
51,69.91479,147.0219,44,40-75,21
52,67.33182,126.3285,40,40-75,20
53,70.26939,125.4839,45,40-75,18
54,69.10344,115.7084,73,40-75,17
55,65.38356,123.4892,56,40-75,20
56,70.18447,147.8926,51,40-75,21
57,70.40617,155.8987,69,40-75,22
58,66.54376,128.0742,41,40-75,20
59,66.36418,119.3701,64,40-75,19
60,67.537,133.8148,52,40-75,21
61,66.50418,128.7325,63,40-75,20
62,68.99958,137.5453,47,40-75,20
63,68.30355,129.7604,41,40-75,20
64,67.01255,128.824,60,40-75,20
65,70.80592,135.3165,71,40-75,19
66,68.21951,109.6113,32,20-39,17
67,69.05914,142.4684,60,40-75,21
68,67.73103,132.749,43,40-75,20
69,67.21568,103.5275,28,20-39,16
70,67.36763,124.7299,48,40-75,19
71,65.27033,129.3137,47,40-75,21
72,70.84278,134.0175,74,40-75,19
73,69.92442,140.3969,44,40-75,20
74,64.28508,102.8351,63,40-75,17
75,68.2452,128.5214,63,40-75,19
76,66.35708,120.2991,64,40-75,19
77,68.36275,138.6036,75,40-75,21
78,65.4769,132.9574,47,40-75,22
79,69.71947,115.6233,41,40-75,17
80,67.72554,122.524,53,40-75,19
81,68.63941,134.6254,50,40-75,20
82,66.78405,121.8986,22,20-39,19
83,70.05147,155.3767,23,20-39,22
84,66.27848,128.9418,38,20-39,21
85,69.20198,129.1013,41,40-75,19
86,69.13481,139.4733,65,40-75,21
87,67.36436,140.8901,27,20-39,22
88,70.09297,131.5916,37,20-39,19
89,70.1766,121.1232,40,40-75,17
90,68.22556,131.5127,73,40-75,20
91,68.12932,136.5479,27,20-39,21
92,70.24256,141.4896,73,40-75,20
93,71.48752,140.6104,56,40-75,19
94,69.20477,112.1413,24,20-39,16
95,70.06306,133.457,21,20-39,19
96,70.55703,131.8001,63,40-75,19
97,66.28644,120.0285,58,40-75,19
98,63.42577,123.0972,75,40-75,22
99,66.76711,128.1432,33,20-39,20
100,68.88741,115.4759,41,40-75,17
